STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	2007	6	>= 225.0 m	-0.6283200000000001	1
BY15 GOTLANDSDJ	135404	2007	7	>= 225.0 m	-1.122	1
BY15 GOTLANDSDJ	135404	2007	8	>= 225.0 m	-1.5371400000000002	2
BY15 GOTLANDSDJ	135404	2007	9	>= 225.0 m	-1.7503200000000003	1
BY15 GOTLANDSDJ	135404	2007	10	>= 225.0 m	-1.75032	1
BY15 GOTLANDSDJ	135404	2007	11	>= 225.0 m	-2.17668	1
BY15 GOTLANDSDJ	135404	2007	12	>= 225.0 m	-2.0196	1
BY15 GOTLANDSDJ	135404	2008	1	>= 225.0 m	-2.15424	1
BY15 GOTLANDSDJ	135404	2008	2	>= 225.0 m	-1.97472	1
BY15 GOTLANDSDJ	135404	2008	3	>= 225.0 m	-2.08692	1
BY15 GOTLANDSDJ	135404	2008	4	>= 225.0 m	-2.4459600000000004	1
BY15 GOTLANDSDJ	135404	2008	5	>= 225.0 m	-2.51328	1
BY15 GOTLANDSDJ	135404	2008	6	>= 225.0 m	-3.1864800000000004	1
BY15 GOTLANDSDJ	135404	2008	7	>= 225.0 m	-3.366	2
BY15 GOTLANDSDJ	135404	2008	8	>= 225.0 m	-3.1864800000000004	1
BY15 GOTLANDSDJ	135404	2008	9	>= 225.0 m	-3.85968	1
BY15 GOTLANDSDJ	135404	2008	10	>= 225.0 m	-3.2538	1
BY15 GOTLANDSDJ	135404	2008	11	>= 225.0 m	-4.01676	1
BY15 GOTLANDSDJ	135404	2008	12	>= 225.0 m	-3.45576	1
BY15 GOTLANDSDJ	135404	2009	1	>= 225.0 m	-3.20892	1
BY15 GOTLANDSDJ	135404	2009	2	>= 225.0 m	-3.4782	1
BY15 GOTLANDSDJ	135404	2009	3	>= 225.0 m	-3.43332	1
BY15 GOTLANDSDJ	135404	2009	4	>= 225.0 m	-3.5006400000000006	1
BY15 GOTLANDSDJ	135404	2009	5	>= 225.0 m	-3.94944	1
BY15 GOTLANDSDJ	135404	2009	6	>= 225.0 m	-4.061640000000001	1
BY15 GOTLANDSDJ	135404	2009	7	>= 225.0 m	-4.2075000000000005	2
BY15 GOTLANDSDJ	135404	2009	8	>= 225.0 m	-4.46556	1
BY15 GOTLANDSDJ	135404	2009	9	>= 225.0 m	-4.64508	1
BY15 GOTLANDSDJ	135404	2009	10	>= 225.0 m	-4.21872	1
BY15 GOTLANDSDJ	135404	2009	11	>= 225.0 m	-5.40804	1
BY15 GOTLANDSDJ	135404	2009	12	>= 225.0 m	-5.67732	1
BY15 GOTLANDSDJ	135404	2010	2	>= 225.0 m	-5.31828	1
BY15 GOTLANDSDJ	135404	2010	3	>= 225.0 m	-4.95924	1
BY15 GOTLANDSDJ	135404	2010	4	>= 225.0 m	-5.452920000000001	1
BY15 GOTLANDSDJ	135404	2010	5	>= 225.0 m	-5.452920000000001	1
BY15 GOTLANDSDJ	135404	2010	6	>= 225.0 m	-5.430480000000001	1
BY15 GOTLANDSDJ	135404	2010	7	>= 225.0 m	-6.5300400000000005	2
BY15 GOTLANDSDJ	135404	2010	8	>= 225.0 m	-5.22852	1
BY15 GOTLANDSDJ	135404	2010	9	>= 225.0 m	-5.8344000000000005	1
